epoch:0
Wed Oct 28 01:49:11 2020 Epoch 0, lr: 0.0010000, val loss: 118.90921, acc: 58.60000
Wed Oct 28 01:49:30 2020 Epoch 1, lr: 0.0010000, val loss: 87.35475, acc: 70.25000
Wed Oct 28 01:49:49 2020 Epoch 2, lr: 0.0010000, val loss: 80.21718, acc: 72.61000
Wed Oct 28 01:50:16 2020 Epoch 3, lr: 0.0010000, val loss: 64.91081, acc: 78.19000
Wed Oct 28 01:50:53 2020 Epoch 4, lr: 0.0010000, val loss: 58.25699, acc: 80.36000
Wed Oct 28 01:51:30 2020 Epoch 5, lr: 0.0010000, val loss: 48.68425, acc: 84.14000
Wed Oct 28 01:52:07 2020 Epoch 6, lr: 0.0010000, val loss: 53.80388, acc: 82.70000
Wed Oct 28 01:52:45 2020 Epoch 7, lr: 0.0010000, val loss: 41.47698, acc: 85.79000
Wed Oct 28 01:53:22 2020 Epoch 8, lr: 0.0010000, val loss: 42.50140, acc: 85.42000
Wed Oct 28 01:53:59 2020 Epoch 9, lr: 0.0010000, val loss: 44.76749, acc: 85.55000
Wed Oct 28 01:54:36 2020 Epoch 10, lr: 0.0010000, val loss: 37.57323, acc: 87.38000
Wed Oct 28 01:55:13 2020 Epoch 11, lr: 0.0010000, val loss: 36.98403, acc: 87.91000
Wed Oct 28 01:55:50 2020 Epoch 12, lr: 0.0010000, val loss: 43.49086, acc: 86.18000
Wed Oct 28 01:56:27 2020 Epoch 13, lr: 0.0010000, val loss: 37.91397, acc: 87.79000
Wed Oct 28 01:57:04 2020 Epoch 14, lr: 0.0010000, val loss: 38.68858, acc: 87.64000
Wed Oct 28 01:57:42 2020 Epoch 15, lr: 0.0010000, val loss: 35.02082, acc: 89.31000
Wed Oct 28 01:58:19 2020 Epoch 16, lr: 0.0010000, val loss: 38.61485, acc: 88.27000
Wed Oct 28 01:58:55 2020 Epoch 17, lr: 0.0010000, val loss: 34.67143, acc: 89.52000
Wed Oct 28 01:59:20 2020 Epoch 18, lr: 0.0010000, val loss: 34.27875, acc: 89.72000
Wed Oct 28 01:59:49 2020 Epoch 19, lr: 0.0010000, val loss: 35.57404, acc: 89.55000
Wed Oct 28 02:00:27 2020 Epoch 20, lr: 0.0010000, val loss: 34.90507, acc: 89.82000
Wed Oct 28 02:00:54 2020 Epoch 21, lr: 0.0010000, val loss: 32.06855, acc: 90.63000
Wed Oct 28 02:01:25 2020 Epoch 22, lr: 0.0010000, val loss: 34.56692, acc: 90.49000
Wed Oct 28 02:02:02 2020 Epoch 23, lr: 0.0010000, val loss: 37.21982, acc: 90.03000
Wed Oct 28 02:02:40 2020 Epoch 24, lr: 0.0010000, val loss: 33.62259, acc: 91.13000
Wed Oct 28 02:03:16 2020 Epoch 25, lr: 0.0010000, val loss: 33.70737, acc: 90.56000
Wed Oct 28 02:03:54 2020 Epoch 26, lr: 0.0001000, val loss: 34.69689, acc: 91.27000
Wed Oct 28 02:04:31 2020 Epoch 27, lr: 0.0001000, val loss: 28.49893, acc: 92.42000
Wed Oct 28 02:05:08 2020 Epoch 28, lr: 0.0001000, val loss: 28.81415, acc: 92.77000
Wed Oct 28 02:05:46 2020 Epoch 29, lr: 0.0001000, val loss: 29.26207, acc: 92.73000
Wed Oct 28 02:06:23 2020 Epoch 30, lr: 0.0001000, val loss: 30.33475, acc: 92.77000
Wed Oct 28 02:07:00 2020 Epoch 31, lr: 0.0001000, val loss: 31.09149, acc: 92.78000
Wed Oct 28 02:07:37 2020 Epoch 32, lr: 0.0000100, val loss: 31.47846, acc: 92.86000
Wed Oct 28 02:08:14 2020 Epoch 33, lr: 0.0000100, val loss: 31.23287, acc: 92.79000
Wed Oct 28 02:08:51 2020 Epoch 34, lr: 0.0000100, val loss: 32.13335, acc: 92.86000
Wed Oct 28 02:09:28 2020 Epoch 35, lr: 0.0000100, val loss: 31.42652, acc: 92.88000
Wed Oct 28 02:10:05 2020 Epoch 36, lr: 0.0000100, val loss: 31.88379, acc: 92.85000
Wed Oct 28 02:10:43 2020 Epoch 37, lr: 0.0000010, val loss: 31.71775, acc: 92.73000
Wed Oct 28 02:11:19 2020 Epoch 38, lr: 0.0000010, val loss: 31.56442, acc: 93.00000
Wed Oct 28 02:11:56 2020 Epoch 39, lr: 0.0000010, val loss: 31.77023, acc: 93.01000
Wed Oct 28 02:12:33 2020 Epoch 40, lr: 0.0000010, val loss: 31.19953, acc: 92.92000
Wed Oct 28 02:13:10 2020 Epoch 41, lr: 0.0000010, val loss: 31.44710, acc: 92.97000
