Wed Oct 28 02:19:24 2020 Epoch 0, lr: 0.0001000, val loss: 152.68866, acc: 44.89000
Wed Oct 28 02:23:22 2020 Epoch 1, lr: 0.0001000, val loss: 140.83905, acc: 50.78000
Wed Oct 28 02:27:21 2020 Epoch 2, lr: 0.0001000, val loss: 114.57930, acc: 58.38000
Wed Oct 28 02:31:19 2020 Epoch 3, lr: 0.0001000, val loss: 106.85599, acc: 61.61000
Wed Oct 28 02:35:18 2020 Epoch 4, lr: 0.0001000, val loss: 109.70435, acc: 61.26000
Wed Oct 28 02:39:15 2020 Epoch 5, lr: 0.0001000, val loss: 96.92400, acc: 66.13000
Wed Oct 28 02:43:14 2020 Epoch 6, lr: 0.0001000, val loss: 97.92824, acc: 65.61000
Wed Oct 28 02:47:12 2020 Epoch 7, lr: 0.0001000, val loss: 91.22835, acc: 67.63000
Wed Oct 28 02:51:11 2020 Epoch 8, lr: 0.0001000, val loss: 87.82749, acc: 69.01000
Wed Oct 28 02:55:09 2020 Epoch 9, lr: 0.0001000, val loss: 90.12244, acc: 68.40000
Wed Oct 28 02:59:09 2020 Epoch 10, lr: 0.0001000, val loss: 84.00898, acc: 70.46000
Wed Oct 28 03:03:07 2020 Epoch 11, lr: 0.0001000, val loss: 82.01755, acc: 71.16000
Wed Oct 28 03:07:06 2020 Epoch 12, lr: 0.0001000, val loss: 81.23839, acc: 71.23000
Wed Oct 28 03:11:05 2020 Epoch 13, lr: 0.0001000, val loss: 80.56401, acc: 71.96000
Wed Oct 28 03:15:02 2020 Epoch 14, lr: 0.0001000, val loss: 80.28154, acc: 72.54000
Wed Oct 28 03:17:21 2020 Epoch 15, lr: 0.0001000, val loss: 77.53051, acc: 73.17000
Wed Oct 28 03:19:19 2020 Epoch 16, lr: 0.0001000, val loss: 77.80443, acc: 73.43000
Wed Oct 28 03:21:17 2020 Epoch 17, lr: 0.0001000, val loss: 78.48979, acc: 72.98000
Wed Oct 28 03:23:14 2020 Epoch 18, lr: 0.0001000, val loss: 77.36747, acc: 72.63000
Wed Oct 28 03:25:12 2020 Epoch 19, lr: 0.0001000, val loss: 73.70677, acc: 75.13000
Wed Oct 28 03:27:10 2020 Epoch 20, lr: 0.0001000, val loss: 72.44489, acc: 75.14000
Wed Oct 28 03:29:07 2020 Epoch 21, lr: 0.0001000, val loss: 72.05933, acc: 75.47000
Wed Oct 28 03:31:05 2020 Epoch 22, lr: 0.0001000, val loss: 73.17761, acc: 75.02000
Wed Oct 28 03:33:02 2020 Epoch 23, lr: 0.0001000, val loss: 75.43363, acc: 74.84000
Wed Oct 28 03:35:00 2020 Epoch 24, lr: 0.0001000, val loss: 70.52083, acc: 76.11000
Wed Oct 28 03:36:58 2020 Epoch 25, lr: 0.0001000, val loss: 75.43264, acc: 75.30000
Wed Oct 28 03:38:55 2020 Epoch 26, lr: 0.0001000, val loss: 72.16524, acc: 76.02000
Wed Oct 28 03:40:53 2020 Epoch 27, lr: 0.0001000, val loss: 69.90383, acc: 76.51000
Wed Oct 28 03:42:51 2020 Epoch 28, lr: 0.0001000, val loss: 71.30117, acc: 76.42000
Wed Oct 28 03:44:48 2020 Epoch 29, lr: 0.0001000, val loss: 70.31591, acc: 76.78000
Wed Oct 28 03:46:46 2020 Epoch 30, lr: 0.0001000, val loss: 72.00255, acc: 76.42000
Wed Oct 28 03:48:44 2020 Epoch 31, lr: 0.0001000, val loss: 74.87857, acc: 75.79000
Wed Oct 28 03:50:43 2020 Epoch 32, lr: 0.0000100, val loss: 72.48370, acc: 76.59000
Wed Oct 28 03:54:25 2020 Epoch 33, lr: 0.0000100, val loss: 68.41016, acc: 78.17000
Wed Oct 28 03:58:23 2020 Epoch 34, lr: 0.0000100, val loss: 67.92862, acc: 78.44000
Wed Oct 28 04:02:23 2020 Epoch 35, lr: 0.0000100, val loss: 68.53647, acc: 78.95000
Wed Oct 28 04:06:21 2020 Epoch 36, lr: 0.0000100, val loss: 68.91036, acc: 78.77000
Wed Oct 28 04:10:21 2020 Epoch 37, lr: 0.0000100, val loss: 68.83065, acc: 78.98000
Wed Oct 28 04:14:20 2020 Epoch 38, lr: 0.0000100, val loss: 68.79765, acc: 79.09000
Wed Oct 28 04:18:19 2020 Epoch 39, lr: 0.0000010, val loss: 69.44013, acc: 79.20000
